Product_Id,Product Name,minprice,maxprice,Description,Categories,Image,Tags List
1,Haier 32 Inches 4K QLED Google TV H32S80EFX,48000,53000,"The Haier 32S80EFX is a 32-inch Smart QLED LED TV featuring 1080p Full HD resolution, 2GB RAM, and 8GB storage. It offers Dolby Atmos audio, Google TV, Bluetooth connectivity, and a sleek bezel-less design, ensuring stunning visuals and an immersive viewing experience.","Small Electronics,LEDs & Audio",Haier_32_Inches_4K_QLED_Google_TV_H32S80EFX.jpg,"Energy-efficient,Smart,Bluetooth"
2,Haier 40 Inch FHD Android LED TV 40K800FX,64999,74999,"The 40-inch Full HD Smart TV features Google TV, offering apps like Netflix and YouTube. Enjoy a bezel-less design, 1920×1080 resolution, 60Hz refresh rate, 4000:1 contrast ratio, Dolby Audio, and multiple connectivity options. Dimensions are 901.1mm x 512.3mm, weighing 8.2 kg for easy placement.","Small Electronics,LEDs & Audio",Haier_40_Inch_FHD_Android_LED_TV_40K800FX.jpg,"LED,Energy-efficient,Bluetooth"
3,Haier 40 Inches 4K FHD Google TV H40K800FXS,69899,78999,"The Haier H40K800FX is a Full HD Smart Google TV with a bezel-less design, 1920 x 1080 resolution, and Dolby Audio. It features 1.5 GB RAM, 8 GB storage, multiple connectivity options, and access to popular apps, available in various sizes at Lahore Centre.","Small Electronics,LEDs & Audio",Haier_40_Inches_4K_FHD_Google_TV_H40K800FXS.jpg,"Smart,Wi-Fi,Connectivity"
4,Haier 43 Inches 4K Google QLED TV 43S800UX,90000,95000,Buy Haier 43 Inches 4K Google QLED TV 43S800UX With Best Price At Al Fatah Electronics.,"Small Electronics,LEDs & Audio",Haier_43_Inches_4K_Google_QLED_TV_43S800UX.jpg,"Sound,Bluetooth,LED"
5,Haier 50 Inches 4K Google QLED TV 50S800UX,127500,130750,Buy Haier 50 Inches 4K Google QLED TV 50S800UX With Best Price At Al Fatah Electronics.,"Small Electronics,LEDs & Audio",Haier_50_Inches_4K_Google_QLED_TV_50S800UX.jpg,"Smart,Audio,Energy-efficient"
6,Dawlance 10 CFT Top Mount Refrigerator 9169WB Avante,56000,61000,Buy Dawlance 10 CFT Top Mount Refrigerator 9169WB Avante with Super Quality At Al Fatah Electronics.,"Electronics,Refrigerators",Dawlance_10_CFT_Top_Mount_Refrigerator_9169WB_Avante.jpg,"Energy-efficient,Cooling,Frost-free"
7,Dawlance 10 CFT Top Mount Refrigerator 9169WB Chrome,54000,59000,Buy Dawlance 10 CFT Top Mount Refrigerator 9169WB Chrome with Super Quality At Al Fatah Electronics.,"Electronics,Refrigerators",Dawlance_10_CFT_Top_Mount_Refrigerator_9169WB_Chrome.jpg,"Temperature control,Wi-Fi,Frost-free"
8,Dawlance 6 CFT Top Mount Refrigerator 9140LF Chrome Pro Silver,59000,64000,"The Dawlance 6 CFT Top Mount Refrigerator 9140LF E-Chrome, also known as the Chrome Pro Silver.","Electronics,Refrigerators",Dawlance_6_CFT_Top_Mount_Refrigerator_9140LF_Chrome_Pro_Silver.jpg,"Dual-zone,Energy-efficient,Cooling"
9,Dawlance 7 CFT Top Mount Refrigerator 9149LF E-Chrome,66000,71000,Buy Dawlance 7 CFT Top Mount Refrigerator 9149LF E-Chrome with Super Quality At Al Fatah Electronics.,"Electronics,Refrigerators",Dawlance_7_CFT_Top_Mount_Refrigerator_9149LF_E-Chrome.jpg,"LED display,Wi-Fi,Frost-free"
10,Dawlance 7 CFT Top Mount Refrigerator 9149WB Avante Pearl,66000,71000,Buy Dawlance 7 CFT Top Mount Refrigerator 9149WB Avante Pearl with Super Quality At Al Fatah Electronics.,"Electronics,Refrigerators",Dawlance_7_CFT_Top_Mount_Refrigerator_9149WB_Avante_Pearl.jpg,"Temperature control,Energy-efficient,Cooling"
